dcterms:title,dcterms:date,dcterms:spatial
FN-88C,"Washington",
FN-88C,"Utah",1877
FN-88C,"Montana",
FN-88C,"Maryland",1755
FN-89A,"Virginia",
FN-89A,,
FN-89A," Petersburg, VA",
FN-89C,"San Francisco",1915
FN-89C,"Missouri ",
FN-89D,,1870
FN-90A,"Ife, Nigeria, West Africa",800 A.D.
FN-90A,"Ife, Nigeria, West Africa",25,000 B.C.
FN-90C,"Texas",
FN-90B,,1890
FN-90B,"S. Carolina",1890
FN-90B,"Louisiana",1890
FN-90B,"Mississippi",1890
FN-91A,"Virginia",1841
FN-91A,,1868
FN-91A,,1870
FN-91A,,1870
FN-91A,,1881
FN-91D,"Germany",
FN-91D,"England",
FN-91D,"Boston",
FN-91D,"Massachusetts",
FN-91D,"Allentown, PA",
FN-91C,"Maryland ",1818
FN-91C,"Maryland ",1704
FN-91C,"Pennsylvania",
FN-92A,,?1850-1901?
FN-92C,"Alba, Italy",
FN-92C,"Alba, Italy",
FN-92D,,
FN-92D,"G.A.",
FN-92D,"Buffalo",September 6th, 1901
FN-92D,,
FN-93A,"West Indies ",
FN-93A,,
FN-93A,,
FN-93A,,
FN-93C,"U.S. ",1905 to 1913
FN-93D,"Kentucky",
FN-93D,"Tennessee",
FN-93D,,1799
FN-93D,"Harpe�s head, KY ",
FN-94A,"Africa",
FN-94A,,1714-99
FN-94C,"North Africa",624 BC
FN-94C,"North Africa",624 BC
FN-94C,"Cyrene, North Africa",founded 624 BC
FN-94C,,19th century
FN-94C,,
FN-95A,,XVI Century 
FN-95A,"Italy",XVI Century 
FN-95A,"Florence",XVI Century 
FN-95C,"Cuba",1858-1909
FN-95C,"Cuba and America",
FN-95D,"Southern Sahara, Africa",1938
FN-96A,"Mississippi",
FN-96A,,
FN-96A,,
FN-96A,,
FN-96A,,
FN-96A,,
FN-96A,,
FN-97A,"Washington D.C",1834
FN-97A,"Maine",
FN-97A,"Alaska",
FN-97B,"Sesebi, Egypt",1350 B.C.
FN-97B,"Greece",
FN-97B,"Palestine",
FN-97B,"Syria",
FN-98A,"New York",1815-1881
FN-98C,"England",1521
FN-98C,"Naples",
FN-98C,"Rome",
FN-98D,"Prince William Co., VA",1794
FN-99A,"Paris, France",1967
FN-99A,,
FN-99A,,
FN-99A,,
FN-99A,,
FN-99A,,
FN-99C,"Tristan Da Cunha",1827
FN-99C,"Tristan Da Cunha",1827
FN-99C,"Tristan Da Cunha",1967
